timestamp_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,TCP_x_m,TCP_y_m,TCP_z_m,TCP_rx_rad,TCP_ry_rad,TCP_rz_rad
0.000472,0.000000,0.005000,-0.006250,0.000000,-0.000375,0.000625,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.004590,0.000000,0.005000,-0.006250,0.000000,-0.000375,0.000625,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.008600,0.000000,0.005000,-0.006250,0.000000,-0.000375,0.000625,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.012594,0.000000,0.005000,-0.006250,0.000000,-0.000375,0.000625,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.016588,0.000000,0.005000,-0.006250,0.000000,-0.000375,0.000625,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.020588,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.024589,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.028588,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.032587,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.036560,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.040545,0.000000,0.005000,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.044577,0.000005,0.004992,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689993,0.097988,-3.141580,0.000010,0.000007
0.048596,0.000005,0.004992,-0.006250,0.000000,-0.000375,-0.000375,0.385999,-0.689993,0.097988,-3.141580,0.000010,0.000007
0.052571,0.000004,0.004993,-0.006250,0.000000,-0.000375,-0.000375,0.386004,-0.689983,0.097978,-3.141581,0.000009,0.000014
