epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4735,2.02728,5.08373,1.20718,0.00011,0.02,7e-05,2e-05,1.86411,4.90668,1.16632,0.0973,0.0003,0.0003
2,34.0266,1.76337,4.96647,1.01598,0.00073,0.09,0.00093,0.00015,2.03392,4.82498,1.12621,0.0936931,0.00069307,0.00069307
3,44.8845,1.7115,4.80353,0.94476,0.00151,0.12278,0.00208,0.00054,1.87478,4.75304,1.02478,0.0900782,0.00107822,0.00107822
4,57.6578,1.6191,4.5133,0.96214,0.00086,0.03889,0.00063,0.00025,1.55547,4.66778,0.95845,0.0864555,0.00145545,0.00145545
5,70.0979,1.59296,4.12649,0.96956,0,0,0,0,1.49516,4.65013,0.95231,0.0828248,0.00182476,0.00182476
6,81.6807,1.6643,3.86242,0.96311,0,0,0,0,1.65155,4.68187,0.97913,0.0791862,0.00218615,0.00218615
7,92.1929,1.60046,3.67268,0.92798,0,0,0,0,1.47375,4.58007,0.93325,0.0755396,0.00253962,0.00253962
8,102.917,1.58743,3.37774,0.9043,0.00068,0.02778,0.00046,0.00035,1.6071,4.54512,0.96321,0.0718852,0.00288517,0.00288517
9,113.532,1.67476,3.18138,0.92504,0.00235,0.13556,0.00406,0.00159,1.65634,4.50076,0.97862,0.0682228,0.0032228,0.0032228
10,124.476,1.69243,2.96446,0.99366,0.00301,0.1654,0.01275,0.00457,1.69327,4.46248,0.96561,0.0645525,0.00355251,0.00355251
11,136.936,1.62006,3.06286,0.93174,0.00497,0.29976,0.02472,0.01085,1.51273,4.3292,0.92238,0.0608743,0.0038743,0.0038743
12,147.739,1.73462,2.84004,0.98315,0.00583,0.35627,0.07933,0.02639,1.6075,4.33408,0.96774,0.0571882,0.00418817,0.00418817
13,158.577,1.68483,2.74547,0.93692,0.00713,0.47476,0.12175,0.04249,1.56133,4.27476,0.97861,0.0534941,0.00449412,0.00449412
14,171.131,1.61466,2.68764,0.94972,0.00605,0.39254,0.09392,0.05401,1.32184,4.17835,0.93049,0.0497922,0.00479215,0.00479215
15,182.108,1.61398,2.59913,0.96256,0.00752,0.50548,0.13062,0.07345,1.32722,4.09603,0.94463,0.0460823,0.00508226,0.00508226
16,192.717,1.58811,2.59201,0.98019,0.00771,0.50365,0.14461,0.07407,1.397,4.09681,0.96502,0.0423644,0.00536445,0.00536445
17,203.326,1.73395,2.42742,0.96858,0.00899,0.58833,0.22942,0.14174,1.32863,3.96435,0.97789,0.0386387,0.00563872,0.00563872
18,214.509,1.64651,2.42207,0.94522,0.00952,0.66905,0.21195,0.11024,1.33473,3.88084,0.97835,0.0349051,0.00590507,0.00590507
19,226.793,1.61319,2.19747,0.93892,0.01052,0.75167,0.32638,0.14222,1.54912,3.72927,1.04523,0.0311635,0.0061635,0.0061635
20,237.415,1.40211,2.07693,0.96498,0.0106,0.735,0.31931,0.18875,1.33968,3.6494,0.99476,0.027414,0.00641401,0.00641401
21,250.12,1.46203,2.14255,0.94743,0.01026,0.73167,0.32768,0.14887,1.39634,3.6375,1.02773,0.0236566,0.0066566,0.0066566
22,261.902,1.67539,2.01716,0.98518,0.01031,0.735,0.34558,0.15079,1.42176,3.77935,1.00394,0.0198913,0.00689127,0.00689127
23,272.362,1.64687,1.92184,0.97506,0.01022,0.69889,0.31416,0.15157,1.41768,3.71414,1.02708,0.016118,0.00711802,0.00711802
24,283.993,1.48964,1.90525,0.94258,0.01018,0.70167,0.29765,0.12064,1.55064,3.74961,1.04651,0.0123368,0.00733685,0.00733685
25,295.956,1.72526,1.91995,1.08973,0.01233,0.85167,0.4622,0.22629,1.37839,3.41797,1.05801,0.00854776,0.00754776,0.00754776
26,308.458,1.5586,1.71837,0.96357,0.96229,0.09084,0.40696,0.16201,1.59271,3.43037,1.11286,0.007525,0.007525,0.007525
27,320.79,1.54196,1.67953,1.00708,0.01339,0.935,0.49812,0.29215,1.35379,3.46041,1.04096,0.007426,0.007426,0.007426
28,333.665,1.60253,1.67769,0.98486,0.78238,0.17261,0.41366,0.20753,1.55515,3.33577,1.11079,0.007327,0.007327,0.007327
29,346.152,1.505,1.57533,0.97344,0.97031,0.09397,0.51151,0.27032,1.3294,3.55201,1.02671,0.007228,0.007228,0.007228
30,358.515,1.47347,1.58402,0.93527,0.8126,0.32658,0.61763,0.31348,1.46639,3.04781,1.11161,0.007129,0.007129,0.007129
