epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5384,4.94773,8.19899,0.69183,7.61597,2.77646,0.05,0.01667,0.03742,0.00748,0,0,0,0,2.44881,7.05947,0.69238,5.5342,1.75554,0.0973,0.0003,0.0003
2,27.1438,4.37715,7.56797,0.69273,6.81445,2.17568,0.01429,0.01667,0.02248,0.00899,0,0,0,0,1.99969,6.26491,0.68241,5.31624,1.34553,0.0936931,0.00069307,0.00069307
3,37.8443,2.56258,6.68191,0.68184,5.44788,1.21297,0.0125,0.03333,0.03198,0.02172,0,0,0,0,1.96741,5.70197,0.67609,5.16513,1.24178,0.0900782,0.00107822,0.00107822
4,48.8343,2.00724,5.57792,0.6559,5.16828,1.05073,0.00561,0.05333,0.03715,0.02569,0.00034,0.02,0.01041,0.00208,1.54105,5.11332,0.66275,4.75294,1.09043,0.0864555,0.00145545,0.00145545
5,59.5877,1.5617,4.76377,0.64072,4.61835,0.95679,0.01156,0.21587,0.07684,0.04675,0.93707,0.01,0.04047,0.01842,1.4181,5.06072,0.65812,4.44714,1.02061,0.0828248,0.00182476,0.00182476
6,70.5248,1.6285,4.39655,0.62396,4.20745,0.94081,0.4173,0.09397,0.0627,0.03263,0.45526,0.1373,0.10433,0.05111,1.74588,5.16299,0.65518,4.42911,1.08308,0.0791862,0.00218615,0.00218615
7,81.493,1.62962,3.99444,0.61062,3.72442,0.94287,0.44129,0.10095,0.09522,0.05043,0.51314,0.16429,0.10293,0.0508,1.73478,4.84356,0.6402,4.88494,1.06747,0.0755396,0.00253962,0.00253962
8,93.2326,1.72552,3.53406,0.59865,3.29197,0.92358,0.47223,0.12369,0.10663,0.04078,0.49499,0.19857,0.131,0.05726,1.93165,4.68353,0.6292,6.2041,1.12468,0.0718852,0.00288517,0.00288517
9,105.334,1.75991,3.06671,0.59853,3.25421,0.92988,0.2871,0.15919,0.13894,0.05623,0.32797,0.25995,0.17167,0.0871,1.94664,4.47237,0.6214,6.69035,1.14882,0.0682228,0.0032228,0.0032228
10,117,1.6282,2.70747,0.59568,2.92233,0.95285,0.225,0.33952,0.24164,0.1242,0.21909,0.29952,0.23228,0.105,1.71446,4.20148,0.61095,6.23102,1.09305,0.0645525,0.00355251,0.00355251
11,128.303,1.67095,2.29582,0.58226,2.90106,0.9373,0.15838,0.53991,0.25163,0.16911,0.19287,0.41417,0.22012,0.11158,1.27019,3.93412,0.59879,6.95113,0.98696,0.0608743,0.0038743,0.0038743
12,139.745,1.40393,2.20692,0.57567,2.71368,0.88551,0.20913,0.49087,0.25723,0.1719,0.20784,0.47087,0.24076,0.11739,1.27472,3.67749,0.58746,5.42558,0.99263,0.0571882,0.00418817,0.00418817
13,151.112,1.77329,2.22457,0.5642,2.58977,0.93566,0.17786,0.41413,0.25981,0.16142,0.17499,0.39413,0.24873,0.14009,1.22686,3.2885,0.57679,5.43861,0.97912,0.0534941,0.00449412,0.00449412
14,162.945,1.69796,1.90056,0.55396,2.67028,0.9148,0.16867,0.41092,0.27354,0.16647,0.16867,0.41092,0.26769,0.1387,1.35833,3.29203,0.56867,3.9082,1.00797,0.0497922,0.00479215,0.00479215
15,174.398,1.62909,1.93681,0.5393,2.48034,0.91391,0.42103,0.35084,0.3211,0.17853,0.42103,0.35084,0.31752,0.15341,1.4502,3.32559,0.56265,3.403,1.01219,0.0460823,0.00508226,0.00508226
16,187.745,1.57156,2.00972,0.52837,2.41659,0.92448,0.34141,0.44086,0.31584,0.20013,0.34141,0.44086,0.30855,0.19685,1.18674,2.76799,0.55602,3.83568,0.96494,0.0423644,0.00536445,0.00536445
17,201.126,1.77511,1.50249,0.53161,2.40613,0.91826,0.31952,0.49393,0.3037,0.16169,0.32251,0.50504,0.31193,0.17656,1.5144,2.9489,0.56463,3.19225,1.01632,0.0386387,0.00563872,0.00563872
18,213.732,1.76966,1.4292,0.52507,2.46588,0.9497,0.31083,0.36986,0.30195,0.17745,0.31083,0.36986,0.32403,0.16229,1.29174,2.79947,0.55031,2.80854,1.01347,0.0349051,0.00590507,0.00590507
19,225.407,1.5823,1.64139,0.51936,2.21322,0.9241,0.33999,0.29833,0.32443,0.20759,0.33999,0.29833,0.31831,0.211,1.2122,2.3659,0.54257,2.92253,0.96884,0.0311635,0.0061635,0.0061635
20,236.712,1.3483,1.30519,0.51403,2.01027,0.91138,0.37753,0.37175,0.34578,0.18466,0.37753,0.37175,0.3386,0.22488,1.17793,2.21238,0.55007,2.87728,0.96471,0.027414,0.00641401,0.00641401
21,248.196,1.39567,1.36656,0.5019,2.18683,0.89551,0.33213,0.43194,0.34498,0.15921,0.33213,0.43194,0.34454,0.25634,1.45144,1.83476,0.52166,2.85969,1.04634,0.0236566,0.0066566,0.0066566
22,259.897,1.7599,1.1036,0.50626,2.14716,0.94068,0.43434,0.28354,0.31948,0.19248,0.43434,0.28354,0.31645,0.22734,1.06415,1.82294,0.51518,2.81811,0.93489,0.0198913,0.00689127,0.00689127
23,270.987,1.49557,1.07366,0.47845,2.09895,0.908,0.57014,0.45634,0.37012,0.20411,0.57014,0.45634,0.36663,0.26051,1.33455,1.78303,0.51592,2.56131,0.98541,0.016118,0.00711802,0.00711802
24,282.681,1.55329,1.22179,0.4981,2.11819,0.89601,0.39991,0.48221,0.35133,0.18139,0.4446,0.51188,0.35759,0.29084,1.19268,1.58072,0.49782,2.62809,1.00028,0.0123368,0.00733685,0.00733685
